identifier,protein_families,pfam,pfam_clan,keyword,family,gene_name,protein_name,uniprot_kb_id
P30048,peroxiredoxin family|IC,PF00578 (AhpC-TSA)|131.2;PF10417 (1-cysPrx_C)|46.8,CL0172 (Thioredoxin),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0049 (Antioxidant);KW-1212 (Corneal dystrophy);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0967 (Endosome);KW-0449 (Lipoprotein);KW-0496 (Mitochondrion);KW-0523 (Neurodegeneration);KW-0560 (Oxidoreductase);KW-0564 (Palmitate);KW-0575 (Peroxidase);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0676 (Redox-active center);KW-1185 (Reference proteome);KW-0809 (Transit peptide),Hominidae,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3_HUMAN
P30050,universal ribosomal protein uL11 family|IC,PF00298 (Ribosomal_L11)|69.8;PF03946 (Ribosomal_L11_N)|80.0,,KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-1017 (Isopeptide bond);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0687 (Ribonucleoprotein);KW-0689 (Ribosomal protein);KW-0694 (RNA-binding);KW-0832 (Ubl conjugation),Hominidae,RPL12,Large ribosomal subunit protein uL11,RL12_HUMAN
P30101,protein disulfide isomerase family|IC,PF00085 (Thioredoxin)|224.2;PF13848 (Thioredoxin_6)|106.0,CL0172 (Thioredoxin),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-1064 (Adaptive immunity);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0256 (Endoplasmic reticulum);KW-0391 (Immunity);KW-0413 (Isomerase);KW-0488 (Methylation);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0676 (Redox-active center);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal),Hominidae,PDIA3,Protein disulfide-isomerase A3,PDIA3_HUMAN
P30153,phosphatase 2A regulatory subunit A family|IC,PF02985 (HEAT)|178.4;PF13646 (HEAT_2)|117.6;PF22646 (PPP2R1A-like_HEAT)|165.4;PF22956 (2AA_helical)|90.1,CL0020 (TPR),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0137 (Centromere);KW-0158 (Chromosome);KW-0159 (Chromosome partition);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0945 (Host-virus interaction);KW-0991 (Intellectual disability);KW-0472 (Membrane);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat),Hominidae,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,2AAA_HUMAN
P30273,CD3Z/FCER1G family|IC,PF02189 (ITAM)|27.8;PF11628 (TCR_zetazeta)|64.4,,KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0389 (IgE-binding protein);KW-0391 (Immunity);KW-0399 (Innate immunity);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,FCER1G,High affinity immunoglobulin epsilon receptor subunit gamma,FCERG_HUMAN
P30520,adenylosuccinate synthetase family|SAM,PF00709 (Adenylsucc_synt)|606.4,CL0023 (P-loop_NTPase),KW-0002 (3D-structure);KW-0963 (Cytoplasm);KW-0342 (GTP-binding);KW-0436 (Ligase);KW-0460 (Magnesium);KW-0479 (Metal-binding);KW-0496 (Mitochondrion);KW-0547 (Nucleotide-binding);KW-1267 (Proteomics identification);KW-0658 (Purine biosynthesis);KW-1185 (Reference proteome),Hominidae,ADSS2,Adenylosuccinate synthetase isozyme 2,PURA2_HUMAN
P30530,protein kinase superfamily|SAM,PF00041 (fn3)|70.1;PF07714 (PK_Tyr_Ser-Thr)|303.8;PF13927 (Ig_3)|61.3,CL0016 (PKinase);CL0159 (E-set),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-1003 (Cell membrane);KW-0221 (Differentiation);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1183 (Host cell receptor for virus entry);KW-0945 (Host-virus interaction);KW-0391 (Immunity);KW-0393 (Immunoglobulin domain);KW-0399 (Innate immunity);KW-0418 (Kinase);KW-0472 (Membrane);KW-0547 (Nucleotide-binding);KW-0553 (Oncogene);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0656 (Proto-oncogene);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0829 (Tyrosine-protein kinase);KW-0832 (Ubl conjugation),Hominidae,AXL,Tyrosine-protein kinase receptor UFO,UFO_HUMAN
P30622,,PF01302 (CAP_GLY)|176.4;PF16641 (CLIP1_ZNF)|54.8;PF27241 (CLIP1)|174.6,CL0010 (SH3);CL0511 (Retroviral_zf),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0966 (Cell projection);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0968 (Cytoplasmic vesicle);KW-0206 (Cytoskeleton);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0493 (Microtubule);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0813 (Transport);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,CLIP1,CAP-Gly domain-containing linker protein 1,CLIP1_HUMAN
P30626,,PF13499 (EF-hand_7)|59.3;PF13833 (EF-hand_8)|47.6,CL0220 (EF_hand),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0106 (Calcium);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0703 (Sarcoplasmic reticulum),Hominidae,SRI,Sorcin,SORCN_HUMAN
P30740,serpin family|IC,PF00079 (Serpin)|450.0,,KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0967 (Endosome);KW-0458 (Lysosome);KW-0597 (Phosphoprotein);KW-0646 (Protease inhibitor);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0722 (Serine protease inhibitor),Hominidae,SERPINB1,Leukocyte elastase inhibitor,ILEU_HUMAN
P30872,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|248.9,CL0192 (GPCR_A),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0564 (Palmitate);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,SSTR1,Somatostatin receptor type 1,SSR1_HUMAN
P30989,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|190.7,CL0192 (GPCR_A),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0564 (Palmitate);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,NTSR1,Neurotensin receptor type 1,NTR1_HUMAN
P31025,calycin superfamily|IC,PF00061 (Lipocalin)|101.3,CL0116 (Calycin),KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0716 (Sensory transduction);KW-0732 (Signal);KW-0919 (Taste);KW-0813 (Transport),Hominidae,LCN1,Lipocalin-1,LCN1_HUMAN
P31150,Rab GDI family|IC,PF00996 (GDI)|806.9,CL0063 (NADP_Rossmann),KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0333 (Golgi apparatus);KW-0343 (GTPase activation);KW-0991 (Intellectual disability);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,GDI1,Rab GDP dissociation inhibitor alpha,GDIA_HUMAN
P31213,steroid 5-alpha reductase family|IC,PF02544 (Steroid_dh)|215.4,CL0115 (Steroid_dh),KW-0002 (3D-structure);KW-0221 (Differentiation);KW-0225 (Disease variant);KW-0256 (Endoplasmic reticulum);KW-0443 (Lipid metabolism);KW-0472 (Membrane);KW-0492 (Microsome);KW-0521 (NADP);KW-0560 (Oxidoreductase);KW-1267 (Proteomics identification);KW-0657 (Pseudohermaphroditism);KW-1185 (Reference proteome);KW-0726 (Sexual differentiation);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,SRD5A2,3-oxo-5-alpha-steroid 4-dehydrogenase 2,S5A2_HUMAN
P31260,Abd-B homeobox family|IC,PF00046 (Homeodomain)|73.2,CL0123 (HTH),KW-0025 (Alternative splicing);KW-0217 (Developmental protein);KW-0238 (DNA-binding);KW-0371 (Homeobox);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,HOXA10,Homeobox protein Hox-A10,HXA10_HUMAN
P31268,Antp homeobox family|IC,PF00046 (Homeodomain)|79.2,CL0123 (HTH),KW-0217 (Developmental protein);KW-0238 (DNA-binding);KW-0371 (Homeobox);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,HOXA7,Homeobox protein Hox-A7,HXA7_HUMAN
P31314,,PF00046 (Homeodomain)|75.0,CL0123 (HTH),KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0160 (Chromosomal rearrangement);KW-0217 (Developmental protein);KW-0238 (DNA-binding);KW-0371 (Homeobox);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-0656 (Proto-oncogene);KW-1185 (Reference proteome),Hominidae,TLX1,T-cell leukemia homeobox protein 1,TLX1_HUMAN
P31350,ribonucleoside diphosphate reductase small chain family|IC,PF00268 (Ribonuc_red_sm)|404.1,CL0044 (Ferritin),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0215 (Deoxyribonucleotide synthesis);KW-0408 (Iron);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-0560 (Oxidoreductase);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0832 (Ubl conjugation),Hominidae,RRM2,Ribonucleoside-diphosphate reductase subunit M2,RIR2_HUMAN
P31371,heparin-binding growth factors family|IC,PF00167 (FGF)|158.0,CL0066 (Trefoil),KW-0002 (3D-structure);KW-0209 (Deafness);KW-0217 (Developmental protein);KW-0221 (Differentiation);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0325 (Glycoprotein);KW-0339 (Growth factor);KW-0358 (Heparin-binding);KW-0497 (Mitogen);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted),Hominidae,FGF9,Fibroblast growth factor 9,FGF9_HUMAN
P31415,calsequestrin family|IC,PF01216 (Calsequestrin)|803.3,CL0172 (Thioredoxin),KW-0002 (3D-structure);KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0256 (Endoplasmic reticulum);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0496 (Mitochondrion);KW-0514 (Muscle protein);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0703 (Sarcoplasmic reticulum);KW-0732 (Signal),Hominidae,CASQ1,Calsequestrin-1,CASQ1_HUMAN
P31431,syndecan proteoglycan family|IC,PF01034 (Syndecan)|93.2,,KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0325 (Glycoprotein);KW-0357 (Heparan sulfate);KW-0472 (Membrane);KW-0654 (Proteoglycan);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,SDC4,Syndecan-4,SDC4_HUMAN
P31639,sodium:solute symporter (SSF) (TC 2|IC,PF00474 (SSF)|548.0,CL0062 (APC),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0406 (Ion transport);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0915 (Sodium);KW-0739 (Sodium transport);KW-0762 (Sugar transport);KW-0769 (Symport);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,SLC5A2,Sodium/glucose cotransporter 2,SC5A2_HUMAN
P31749,protein kinase superfamily|IC,PF00069 (Pkinase)|267.9;PF00169 (PH)|70.2;PF00433 (Pkinase_C)|43.6,CL0016 (PKinase);CL0266 (PH),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0053 (Apoptosis);KW-0067 (ATP-binding);KW-0119 (Carbohydrate metabolism);KW-1003 (Cell membrane);KW-0963 (Cytoplasm);KW-0217 (Developmental protein);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0313 (Glucose metabolism);KW-0320 (Glycogen biosynthesis);KW-0321 (Glycogen metabolism);KW-0325 (Glycoprotein);KW-1017 (Isopeptide bond);KW-0418 (Kinase);KW-0472 (Membrane);KW-0496 (Mitochondrion);KW-0524 (Neurogenesis);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0656 (Proto-oncogene);KW-1185 (Reference proteome);KW-0723 (Serine/threonine-protein kinase);KW-0762 (Sugar transport);KW-0808 (Transferase);KW-0810 (Translation regulation);KW-0813 (Transport);KW-0832 (Ubl conjugation),Hominidae,AKT1,RAC-alpha serine/threonine-protein kinase,AKT1_HUMAN
P31942,,PF28441 (RRM_11)|147.2,CL0221 (RRM),KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0903 (Direct protein sequencing);KW-1017 (Isopeptide bond);KW-0488 (Methylation);KW-0507 (mRNA processing);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0687 (Ribonucleoprotein);KW-0694 (RNA-binding);KW-0832 (Ubl conjugation),Hominidae,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3,HNRH3_HUMAN
P32248,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|212.3,CL0192 (GPCR_A),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,CCR7,C-C chemokine receptor type 7,CCR7_HUMAN
P32297,ligand-gated ion channel (TC 1|IC,PF02931 (Neur_chan_LBD)|257.3;PF02932 (Neur_chan_memb)|281.2,,KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0256 (Endoplasmic reticulum);KW-0325 (Glycoprotein);KW-0333 (Golgi apparatus);KW-0407 (Ion channel);KW-0406 (Ion transport);KW-1071 (Ligand-gated ion channel);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0770 (Synapse);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport);KW-0832 (Ubl conjugation),Hominidae,CHRNA3,Neuronal acetylcholine receptor subunit alpha-3,ACHA3_HUMAN
P32418,Ca(2+):cation antiporter (CaCA) (TC 2|IC,PF01699 (Na_Ca_ex)|174.6;PF03160 (Calx-beta)|223.1;PF16494 (Na_Ca_ex_C)|188.6,CL0159 (E-set),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0050 (Antiport);KW-0106 (Calcium);KW-0109 (Calcium transport);KW-0112 (Calmodulin-binding);KW-1003 (Cell membrane);KW-0325 (Glycoprotein);KW-0406 (Ion transport);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0915 (Sodium);KW-0739 (Sodium transport);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,SLC8A1,Sodium/calcium exchanger 1,NAC1_HUMAN
P32745,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|228.4,CL0192 (GPCR_A),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,SSTR3,Somatostatin receptor type 3,SSR3_HUMAN
P32929,trans-sulfuration enzymes family|IC,PF01053 (Cys_Met_Meta_PP)|536.6,CL0061 (PLP_aminotran),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0028 (Amino-acid biosynthesis);KW-0112 (Calmodulin-binding);KW-0198 (Cysteine biosynthesis);KW-0963 (Cytoplasm);KW-0225 (Disease variant);KW-0443 (Lipid metabolism);KW-0456 (Lyase);KW-1267 (Proteomics identification);KW-0663 (Pyridoxal phosphate);KW-1185 (Reference proteome),Hominidae,CTH,Cystathionine gamma-lyase,CGL_HUMAN
P32971,tumor necrosis factor family|IC,PF00229 (TNF)|96.0,CL0100 (C1q_TNF),KW-0202 (Cytokine);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0735 (Signal-anchor);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,TNFSF8,Tumor necrosis factor ligand superfamily member 8,TNFL8_HUMAN
P33151,,PF00028 (Cadherin)|307.9;PF01049 (CADH_Y-type_LIR)|95.1,CL0159 (E-set),KW-0025 (Alternative splicing);KW-0106 (Calcium);KW-0130 (Cell adhesion);KW-0965 (Cell junction);KW-1003 (Cell membrane);KW-0165 (Cleavage on pair of basic residues);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,CDH5,Cadherin-5,CADH5_HUMAN
P33527,ABC transporter superfamily|IC,PF00005 (ABC_tran)|167.8;PF00664 (ABC_membrane)|351.0;PF24357 (TMD0_ABC)|34.4,CL0023 (P-loop_NTPase);CL0241 (ABC_membrane);CL0853 (TMD0-like),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-1003 (Cell membrane);KW-0209 (Deafness);KW-0325 (Glycoprotein);KW-0378 (Hydrolase);KW-0445 (Lipid transport);KW-0472 (Membrane);KW-1010 (Non-syndromic deafness);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-1278 (Translocase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,ABCC1,Multidrug resistance-associated protein 1,MRP1_HUMAN
P34096,pancreatic ribonuclease family|IC,PF00074 (RnaseA)|132.1,,KW-0002 (3D-structure);KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0255 (Endonuclease);KW-0378 (Hydrolase);KW-0540 (Nuclease);KW-1267 (Proteomics identification);KW-0873 (Pyrrolidone carboxylic acid);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal),Hominidae,RNASE4,Ribonuclease 4,RNAS4_HUMAN
P34896,SHMT family|IC,PF00464 (SHMT)|718.3,CL0061 (PLP_aminotran),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0124 (Carnitine biosynthesis);KW-0963 (Cytoplasm);KW-1017 (Isopeptide bond);KW-0456 (Lyase);KW-0539 (Nucleus);KW-0554 (One-carbon metabolism);KW-1267 (Proteomics identification);KW-0663 (Pyridoxal phosphate);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0832 (Ubl conjugation),Hominidae,SHMT1,"Serine hydroxymethyltransferase, cytosolic",GLYC_HUMAN
P34972,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|157.3,CL0192 (GPCR_A),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0395 (Inflammatory response);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,CNR2,Cannabinoid receptor 2,CNR2_HUMAN
P34981,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|191.8,CL0192 (GPCR_A),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-0984 (Congenital hypothyroidism);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,TRHR,Thyrotropin-releasing hormone receptor,TRFR_HUMAN
P35030,peptidase S1 family|SAM,PF00089 (Trypsin)|267.4,CL0124 (Peptidase_PA),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0106 (Calcium);KW-0222 (Digestion);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0645 (Protease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0732 (Signal);KW-0765 (Sulfation);KW-0865 (Zymogen),Hominidae,PRSS3,Trypsin-3,TRY3_HUMAN
P35070,,,,KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0245 (EGF-like domain);KW-0325 (Glycoprotein);KW-0339 (Growth factor);KW-0472 (Membrane);KW-0497 (Mitogen);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,BTC,Probetacellulin,BTC_HUMAN
P35125,peptidase C19 family|IC,PF00443 (UCH)|234.3;PF00566 (RabGAP-TBC)|145.4,CL0125 (Peptidase_CA);CL0816 (TBC-like),KW-0025 (Alternative splicing);KW-0112 (Calmodulin-binding);KW-1003 (Cell membrane);KW-0160 (Chromosomal rearrangement);KW-0963 (Cytoplasm);KW-0967 (Endosome);KW-0378 (Hydrolase);KW-0472 (Membrane);KW-0645 (Protease);KW-1267 (Proteomics identification);KW-0656 (Proto-oncogene);KW-1185 (Reference proteome);KW-0788 (Thiol protease);KW-0832 (Ubl conjugation);KW-0833 (Ubl conjugation pathway),Hominidae,USP6,Ubiquitin carboxyl-terminal hydrolase 6,UBP6_HUMAN
P35240,,PF00373 (FERM_M)|109.0;PF00769 (ERM_C)|87.0;PF09379 (FERM_N)|52.9;PF09380 (FERM_C)|85.8;PF20492 (ERM_helical)|82.2,CL0072 (Ubiquitin);CL0266 (PH);CL0632 (FERM_M);CL0719 (Moesin_tail),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0209 (Deafness);KW-0225 (Disease variant);KW-0472 (Membrane);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0043 (Tumor suppressor);KW-0832 (Ubl conjugation),Hominidae,NF2,Merlin,MERL_HUMAN
P35367,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|212.6,CL0192 (GPCR_A),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,HRH1,Histamine H1 receptor,HRH1_HUMAN
